Region,State,Year of Year,Death Penalty Status,Murder Rate,Number of Records
South,South Carolina,1988,Death Penalty,9.3,1
Midwest,South Dakota,1988,Death Penalty,3.08,1
South,Tennessee,1988,Death Penalty,9.37,1
South,Texas,1988,Death Penalty,12.05,1
West,Utah,1988,Death Penalty,2.78,1
Northeast,Vermont,1988,No Death Penalty,1.98,1
South,Virginia,1988,Death Penalty,7.81,1
West,Washington,1988,Death Penalty,5.72,1
South,West Virginia,1988,No Death Penalty,4.94,1
Midwest,Wisconsin,1988,No Death Penalty,2.96,1
West,Wyoming,1988,Death Penalty,2.55,1
Midwest,x-Midwest,1988,Region,6.4,1
Northeast,x-Northeast,1988,Region,7.5,1
South,x-South,1988,Region,10.3,1
United States,x-United States,1988,Region,8.4,1
West,x-West,1988,Region,8.5,1
South,Alabama,1989,Death Penalty,10.22,1
West,Alaska,1989,No Death Penalty,7.97,1
West,Arizona,1989,Death Penalty,6.66,1
South,Arkansas,1989,Death Penalty,8.44,1
West,California,1989,Death Penalty,10.87,1
West,Colorado,1989,Death Penalty,4.4,1
Northeast,Connecticut,1989,Death Penalty,5.87,1
South,Delaware,1989,Death Penalty,5.05,1
South,Florida,1989,Death Penalty,11.09,1
South,Georgia,1989,Death Penalty,12.74,1
West,Hawaii,1989,No Death Penalty,4.77,1
West,Idaho,1989,Death Penalty,2.56,1
Midwest,Illinois,1989,Death Penalty,9.02,1
Midwest,Indiana,1989,Death Penalty,6.31,1
Midwest,Iowa,1989,No Death Penalty,1.9,1
Midwest,Kansas,1989,No Death Penalty,5.49,1
South,Kentucky,1989,Death Penalty,7.86,1
South,Louisiana,1989,Death Penalty,14.9,1
Northeast,Maine,1989,No Death Penalty,3.19,1
South,Maryland,1989,Death Penalty,11.59,1
Northeast,Massachusetts,1989,No Death Penalty,4.3,1
Midwest,Michigan,1989,No Death Penalty,10.71,1
Midwest,Minnesota,1989,No Death Penalty,2.55,1
South,Mississippi,1989,Death Penalty,9.65,1
Midwest,Missouri,1989,Death Penalty,7.93,1
West,Montana,1989,Death Penalty,2.85,1
Midwest,Nebraska,1989,Death Penalty,2.48,1
West,Nevada,1989,Death Penalty,8.19,1
Northeast,New Hampshire,1989,Death Penalty,3.25,1
Northeast,New Jersey,1989,Death Penalty,5.09,1
West,New Mexico,1989,Death Penalty,8.64,1
Northeast,New York,1989,No Death Penalty,12.51,1
South,North Carolina,1989,Death Penalty,8.89,1
Midwest,North Dakota,1989,No Death Penalty,0.61,1
Midwest,Ohio,1989,Death Penalty,5.98,1
South,Oklahoma,1989,Death Penalty,6.51,1
West,Oregon,1989,Death Penalty,4.75,1
Northeast,Pennsylvania,1989,Death Penalty,6.25,1
Northeast,Rhode Island,1989,No Death Penalty,4.91,1
South,South Carolina,1989,Death Penalty,9.11,1
Midwest,South Dakota,1989,Death Penalty,1.26,1
South,Tennessee,1989,Death Penalty,8.44,1
South,Texas,1989,Death Penalty,11.94,1
West,Utah,1989,Death Penalty,2.64,1
Northeast,Vermont,1989,No Death Penalty,1.94,1
South,Virginia,1989,Death Penalty,7.87,1
West,Washington,1989,Death Penalty,4.39,1
South,West Virginia,1989,No Death Penalty,6.52,1
Midwest,Wisconsin,1989,No Death Penalty,3.62,1
West,Wyoming,1989,Death Penalty,4.42,1
Midwest,x-Midwest,1989,Region,6.6,1
Northeast,x-Northeast,1989,Region,7.8,1
South,x-South,1989,Region,10.8,1
United States,x-United States,1989,Region,8.7,1
West,x-West,1989,Region,8.3,1
South,Alabama,1990,Death Penalty,11.56,1
West,Alaska,1990,No Death Penalty,7.45,1
West,Arizona,1990,Death Penalty,7.75,1
South,Arkansas,1990,Death Penalty,10.25,1
West,California,1990,Death Penalty,11.94,1
West,Colorado,1990,Death Penalty,4.19,1
Northeast,Connecticut,1990,Death Penalty,5.05,1
South,Delaware,1990,Death Penalty,4.95,1
South,Florida,1990,Death Penalty,10.66,1
South,Georgia,1990,Death Penalty,11.84,1
West,Hawaii,1990,No Death Penalty,3.97,1
West,Idaho,1990,Death Penalty,2.68,1
Midwest,Illinois,1990,Death Penalty,10.34,1
Midwest,Indiana,1990,Death Penalty,6.2,1
Midwest,Iowa,1990,No Death Penalty,1.94,1
Midwest,Kansas,1990,No Death Penalty,3.96,1
