Region,State,Year of Year,Death Penalty Status,Murder Rate,Number of Records
South,Alabama,1987,Death Penalty,9.31,1
West,Alaska,1987,No Death Penalty,10.1,1
West,Arizona,1987,Death Penalty,7.47,1
South,Arkansas,1987,Death Penalty,7.62,1
West,California,1987,Death Penalty,10.57,1
West,Colorado,1987,Death Penalty,5.79,1
Northeast,Connecticut,1987,Death Penalty,4.86,1
South,Delaware,1987,Death Penalty,5.12,1
South,Florida,1987,Death Penalty,11.4,1
South,Georgia,1987,Death Penalty,11.81,1
West,Hawaii,1987,No Death Penalty,4.8,1
West,Idaho,1987,Death Penalty,3.11,1
Midwest,Illinois,1987,Death Penalty,8.35,1
Midwest,Indiana,1987,Death Penalty,5.55,1
Midwest,Iowa,1987,No Death Penalty,2.08,1
Midwest,Kansas,1987,No Death Penalty,4.44,1
South,Kentucky,1987,Death Penalty,7.51,1
South,Louisiana,1987,Death Penalty,11.12,1
Northeast,Maine,1987,No Death Penalty,2.53,1
South,Maryland,1987,Death Penalty,9.61,1
Northeast,Massachusetts,1987,No Death Penalty,2.95,1
Midwest,Michigan,1987,No Death Penalty,12.22,1
Midwest,Minnesota,1987,No Death Penalty,2.64,1
South,Mississippi,1987,Death Penalty,10.25,1
Midwest,Missouri,1987,Death Penalty,8.29,1
West,Montana,1987,Death Penalty,4.08,1
Midwest,Nebraska,1987,Death Penalty,3.45,1
West,Nevada,1987,Death Penalty,8.44,1
Northeast,New Hampshire,1987,Death Penalty,3.03,1
Northeast,New Jersey,1987,Death Penalty,4.58,1
West,New Mexico,1987,Death Penalty,10.13,1
Northeast,New York,1987,No Death Penalty,11.31,1
South,North Carolina,1987,Death Penalty,8.09,1
Midwest,North Dakota,1987,No Death Penalty,1.49,1
Midwest,Ohio,1987,Death Penalty,5.84,1
South,Oklahoma,1987,Death Penalty,7.46,1
West,Oregon,1987,Death Penalty,5.62,1
Northeast,Pennsylvania,1987,Death Penalty,5.38,1
Northeast,Rhode Island,1987,No Death Penalty,3.55,1
South,South Carolina,1987,Death Penalty,9.28,1
Midwest,South Dakota,1987,Death Penalty,1.83,1
South,Tennessee,1987,Death Penalty,9.15,1
South,Texas,1987,Death Penalty,11.67,1
West,Utah,1987,Death Penalty,3.27,1
Northeast,Vermont,1987,No Death Penalty,2.74,1
South,Virginia,1987,Death Penalty,7.4,1
West,Washington,1987,Death Penalty,5.64,1
South,West Virginia,1987,No Death Penalty,4.85,1
Midwest,Wisconsin,1987,No Death Penalty,3.49,1
West,Wyoming,1987,Death Penalty,2.04,1
Midwest,x-Midwest,1987,Region,6.7,1
Northeast,x-Northeast,1987,Region,6.9,1
South,x-South,1987,Region,10,1
United States,x-United States,1987,Region,8.3,1
West,x-West,1987,Region,8.5,1
South,Alabama,1988,Death Penalty,9.89,1
West,Alaska,1988,No Death Penalty,5.65,1
West,Arizona,1988,Death Penalty,8.48,1
South,Arkansas,1988,Death Penalty,8.71,1
West,California,1988,Death Penalty,10.42,1
West,Colorado,1988,Death Penalty,5.68,1
Northeast,Connecticut,1988,Death Penalty,5.37,1
South,Delaware,1988,Death Penalty,5.15,1
South,Florida,1988,Death Penalty,11.44,1
South,Georgia,1988,Death Penalty,11.69,1
West,Hawaii,1988,No Death Penalty,4.03,1
West,Idaho,1988,Death Penalty,3.6,1
Midwest,Illinois,1988,Death Penalty,8.58,1
Midwest,Indiana,1988,Death Penalty,6.42,1
Midwest,Iowa,1988,No Death Penalty,1.66,1
Midwest,Kansas,1988,No Death Penalty,3.42,1
South,Kentucky,1988,Death Penalty,6.15,1
South,Louisiana,1988,Death Penalty,11.58,1
Northeast,Maine,1988,No Death Penalty,3.07,1
South,Maryland,1988,Death Penalty,9.67,1
Northeast,Massachusetts,1988,No Death Penalty,3.54,1
Midwest,Michigan,1988,No Death Penalty,10.85,1
Midwest,Minnesota,1988,No Death Penalty,2.88,1
South,Mississippi,1988,Death Penalty,8.56,1
Midwest,Missouri,1988,Death Penalty,8.04,1
West,Montana,1988,Death Penalty,2.61,1
Midwest,Nebraska,1988,Death Penalty,3.62,1
West,Nevada,1988,Death Penalty,10.47,1
Northeast,New Hampshire,1988,Death Penalty,2.28,1
Northeast,New Jersey,1988,Death Penalty,5.32,1
West,New Mexico,1988,Death Penalty,11.46,1
Northeast,New York,1988,No Death Penalty,12.54,1
South,North Carolina,1988,Death Penalty,7.81,1
Midwest,North Dakota,1988,No Death Penalty,1.81,1
Midwest,Ohio,1988,Death Penalty,5.38,1
South,Oklahoma,1988,Death Penalty,7.45,1
West,Oregon,1988,Death Penalty,5.07,1
Northeast,Pennsylvania,1988,Death Penalty,5.49,1
Northeast,Rhode Island,1988,No Death Penalty,4.12,1
